city,district,sector,urban_level,market_access_score,competition_index,location_cost_index,business_main_group,business_subgroup,business_age_years,monthly_revenue,monthly_expenses,net_profit_margin,current_assets_value,current_liabilities_value,requested_loan_amount,desired_repayment_period_months,credit_score,existing_loans,repayment_history_score,seasonality_factor,economic_outlook_index,interest_rate_environment,loan_purpose,cash_flow_stability_score,ownership_type,business_stage,business_risk_level,preferred_funding_partner,expected_roi_percentage,predicted_profit_from_loan,total_repayment_amount,net_gain_or_loss
Rubavu,Gisenyi,Rubavu,Urban,4,7,5,Automotive,Motorcycle Repair,14,3702619,2689523,0.27,8281183,1765015,5605975,18,522,1,41,No,-0.95,13.0,Equipment Purchase,30,Sole Proprietorship,Declining,High,SACCO,32,1793912.0,6334751.75,1065135.25
Huye,Ngoma,Butare,Peri-Urban,9,2,6,Manufacturing,Furniture Making,19,420806,273224,0.35,624500,1302643,5275671,12,468,3,29,No,0.99,13.0,Equipment Purchase,93,Partnership,Mature,Medium,BRD,8,422053.68,5961508.23,-263783.55
Kigali,Gasabo,Kimironko,Urban,8,7,4,Manufacturing,Bakery,2,3938241,1009054,0.74,4333119,325031,8228756,24,783,0,18,No,0.21,12.5,Inventory,78,Cooperative,Early Stage,Medium,VisionFund,49,4032090.44,9257350.5,3003495.94
Nyagatare,Karangazi,Karangazi Centre,Rural,4,9,3,Agriculture,Pig Farming,16,3845907,3443328,0.1,4240939,758720,18990306,12,667,2,36,Yes,-0.86,15.0,Equipment Purchase,70,Partnership,Declining,Low,BRD,15,2848545.9,21838851.9,0.0
Kigali,Gasabo,Kimironko,Urban,5,10,8,Retail,Mini Supermarket,0,2255928,1027589,0.54,6243712,444166,19650692,12,736,0,47,No,-0.56,15.0,Inventory,23,Sole Proprietorship,Early Stage,Low,BRD,21,4126645.32,22598295.8,1179041.52
Musanze,Muhoza,Ruhengeri,Peri-Urban,6,8,3,Agriculture,Bee Keeping,12,1813583,1727206,0.05,5408296,1121331,4388601,36,489,1,61,Yes,0.76,13.0,Expansion,43,Sole Proprietorship,Mature,Medium,Equity Bank,32,1404352.32,4959119.13,833834.19
Nyagatare,Karangazi,Rwimiyaga,Rural,7,10,3,Retail,Mini Supermarket,11,1257724,1117989,0.11,5461378,1566054,18887181,36,428,4,46,Yes,-0.6,13.0,Tech Adoption,4,Cooperative,Mature,High,VisionFund,48,9065846.88,21342514.53,6610513.35
Nyagatare,Karangazi,Rwimiyaga,Rural,10,8,6,Manufacturing,Bakery,7,463960,356586,0.23,9200904,672659,2353472,18,487,3,48,No,-0.34,15.0,Tech Adoption,42,Cooperative,Mature,Low,Bank of Kigali,26,611902.72,2706492.8,258881.92
Rubavu,Kanama,Nyundo,Urban,5,5,7,Automotive,Car Wash,16,2129993,1160532,0.46,3980975,535350,13682161,24,529,4,56,No,0.07,13.0,Equipment Purchase,72,Partnership,Mature,High,SACCO,40,5472864.4,15460841.93,3694183.47
Nyagatare,Karangazi,Rwimiyaga,Rural,5,1,7,Agriculture,Bee Keeping,13,995843,75947,0.92,5829164,783644,9604884,6,687,1,83,No,-0.05,13.0,Inventory,61,Cooperative,Mature,High,VisionFund,7,672341.88,10853518.92,-576293.04
Kigali,Kicukiro,Kicukiro Centre,Urban,10,4,9,Services,Photocopy Center,18,863104,609208,0.29,7222146,1191914,19970748,12,495,0,76,Yes,-0.19,14.0,Expansion,48,Sole Proprietorship,Mature,Low,Bank of Kigali,41,8188006.68,22766652.72,5392101.96
Musanze,Busogo,Busogo II,Peri-Urban,5,8,8,Services,Photocopy Center,1,4199953,562711,0.87,361061,1534725,11722566,24,829,1,3,Yes,0.24,12.5,Expansion,96,Partnership,Declining,Low,Bank of Kigali,22,2578964.52,13187886.75,1113643.77
Nyagatare,Karangazi,Karangazi Centre,Rural,9,5,8,Services,Salon,3,2508658,1404793,0.44,3373116,1831509,18641441,24,537,4,70,No,-0.93,12.5,Expansion,35,Cooperative,Mature,High,SACCO,11,2050558.51,20971621.12,-279621.61
Musanze,Busogo,Busogo II,Peri-Urban,4,5,7,Automotive,Tire Center,7,3766730,1926502,0.49,7200511,601721,15359587,36,732,3,100,No,0.5,12.5,Tech Adoption,27,Partnership,Growth,Low,BRD,44,6758218.28,17279535.38,4838269.9
Kigali,Gasabo,Kimironko,Urban,5,3,8,Manufacturing,Textile Production,13,771547,66278,0.91,5813124,1750909,7089746,36,472,0,16,Yes,0.86,14.0,Tech Adoption,14,Cooperative,Mature,High,VisionFund,48,3403078.08,8082310.44,2410513.64
Nyagatare,Karangazi,Rwimiyaga,Rural,8,7,5,Manufacturing,Soap Making,12,3691347,1680117,0.54,3530041,1201831,9627003,24,691,5,51,No,-0.19,12.5,Inventory,52,Cooperative,Early Stage,High,SACCO,11,1058970.33,10830378.38,-144405.05
Huye,Ngoma,Butare,Peri-Urban,9,8,6,Manufacturing,Furniture Making,16,3547322,282605,0.92,5163146,1305574,11980615,18,437,4,74,Yes,0.66,14.0,Tech Adoption,50,Cooperative,Declining,Medium,BRD,11,1317867.65,13657901.1,-359418.45
Huye,Ngoma,Butare,Peri-Urban,10,6,6,Retail,Food Market,11,4162595,3038527,0.27,9785478,1668964,6350508,18,410,3,53,No,-0.19,13.0,Inventory,23,Partnership,Early Stage,Low,Bank of Kigali,30,1905152.4,7176074.04,1079586.36
Huye,Tumba,Cyarwa,Peri-Urban,7,8,6,Automotive,Spare Parts Shop,5,1713831,454777,0.73,2762558,1253798,15977480,24,423,3,78,No,-0.15,13.0,Equipment Purchase,73,Sole Proprietorship,Growth,High,VisionFund,43,6870316.4,18054552.4,4793244.0
Huye,Ngoma,Ngoma Centre,Peri-Urban,4,2,8,Manufacturing,Bakery,2,2498798,982985,0.61,482293,1845142,16458592,12,676,1,1,No,-0.01,13.0,Equipment Purchase,65,Cooperative,Declining,Low,BRD,13,2139616.96,18598208.96,-0.0
Kigali,Nyarugenge,Nyamirambo,Urban,9,2,7,Automotive,Motorcycle Repair,18,4498065,1780731,0.6,3514423,1639341,12276365,36,652,4,4,Yes,-0.83,15.0,Expansion,34,Partnership,Mature,High,SACCO,19,2332509.35,14117819.75,491054.6
Musanze,Busogo,Busogo I,Peri-Urban,4,9,7,Manufacturing,Textile Production,20,1791887,846322,0.53,9913138,1604169,3384770,18,507,3,20,Yes,0.93,15.0,Inventory,14,Cooperative,Declining,High,VisionFund,16,541563.2,3892485.5,33847.7
Kigali,Kicukiro,Gatenga,Urban,7,7,9,Agriculture,Pig Farming,11,4491060,4175568,0.07,3176998,256533,14569474,12,396,5,61,No,0.05,12.5,Inventory,98,Partnership,Mature,Medium,BRD,12,1748336.88,16390658.25,-72847.37
Huye,Ngoma,Ngoma Centre,Peri-Urban,4,9,5,Retail,Food Market,10,771075,200436,0.74,3827246,1306071,12712657,12,818,0,52,Yes,0.51,15.0,Tech Adoption,68,Cooperative,Mature,Low,Equity Bank,16,2034025.12,14619555.55,127126.57
Musanze,Busogo,Busogo I,Peri-Urban,8,4,9,Services,Photocopy Center,5,706414,669713,0.05,4903692,1602877,1180674,36,801,4,90,No,0.83,15.0,Tech Adoption,12,Partnership,Mature,Medium,BRD,40,472269.6,1357775.1,295168.5
Musanze,Muhoza,Muhoza Centre,Peri-Urban,8,9,3,Agriculture,Coffee Growing,13,1524208,783458,0.49,4019693,1583291,12750892,18,596,3,37,Yes,0.15,14.0,Tech Adoption,48,Cooperative,Growth,Medium,VisionFund,33,4207794.36,14536016.88,2422669.48
Nyagatare,Rukomo,Rukomo I,Rural,8,3,9,Retail,Beans Shop,9,3319401,847296,0.74,8585166,1280076,17624031,12,494,3,78,No,-0.16,15.0,Tech Adoption,63,Cooperative,Growth,High,VisionFund,49,8635775.19,20267635.65,5992170.54
Nyagatare,Rukomo,Rukomo II,Rural,8,1,4,Services,Laundry Service,16,1912532,390117,0.8,3871085,1558087,9034486,6,797,0,69,Yes,0.81,14.0,Tech Adoption,20,Cooperative,Growth,Low,Equity Bank,50,4517243.0,10299314.04,3252414.96
Kigali,Gasabo,Remera,Urban,6,7,6,Manufacturing,Furniture Making,20,3723803,641563,0.83,3089912,1555552,13749735,36,831,1,38,No,0.58,15.0,Tech Adoption,96,Sole Proprietorship,Early Stage,Medium,BRD,30,4124920.5,15812195.25,2062460.25
Kigali,Nyarugenge,Nyamirambo,Urban,4,4,9,Automotive,Car Wash,12,159119,140522,0.12,7307382,1954831,10682129,12,484,1,63,No,-0.6,14.0,Equipment Purchase,94,Cooperative,Early Stage,Medium,BRD,43,4593315.47,12177627.06,3097817.41
Huye,Tumba,Tumba Village,Peri-Urban,8,7,6,Automotive,Car Wash,7,413231,252301,0.39,5397039,688365,12081455,6,753,2,16,No,-0.68,15.0,Expansion,39,Sole Proprietorship,Declining,Low,BRD,9,1087330.95,13893673.25,-724887.3
Rubavu,Kanama,Nyundo,Urban,4,6,6,Agriculture,Maize Farming,10,3602423,1816520,0.5,2760652,524197,13665052,6,421,1,41,No,0.78,12.5,Expansion,57,Partnership,Early Stage,Medium,BRD,18,2459709.36,15373183.5,751577.86
Rubavu,Gisenyi,Rubavu,Urban,7,10,9,Services,Photocopy Center,20,2170417,1254648,0.42,3202232,1044191,19455570,24,607,2,99,Yes,-0.31,12.5,Equipment Purchase,59,Sole Proprietorship,Mature,High,SACCO,17,3307446.9,21887516.25,875500.65
Nyagatare,Rukomo,Rukomo I,Rural,7,2,4,Services,Internet Cafe,17,4924713,3880244,0.21,6272351,1125368,159789,18,392,3,53,No,0.45,12.5,Equipment Purchase,77,Cooperative,Early Stage,Low,Bank of Kigali,11,17576.79,179762.62,-2396.83
Kigali,Kicukiro,Gatenga,Urban,7,8,5,Services,Photocopy Center,4,2596402,768199,0.7,7960869,1216328,15976184,36,582,1,77,Yes,0.58,14.0,Tech Adoption,34,Sole Proprietorship,Mature,High,SACCO,5,798809.2,18212849.76,-1437856.56
Huye,Tumba,Tumba Village,Peri-Urban,9,6,4,Manufacturing,Textile Production,18,3281551,1655129,0.5,1274930,1938408,454634,36,771,4,45,Yes,-0.29,12.5,Equipment Purchase,57,Cooperative,Early Stage,Medium,BRD,43,195492.62,511463.25,138663.37
Rubavu,Gisenyi,Gisenyi Town,Urban,9,5,6,Automotive,Garage Services,12,1389750,433055,0.69,1619988,1653877,10347095,18,455,5,3,No,-0.98,14.0,Equipment Purchase,17,Cooperative,Mature,Low,Bank of Kigali,10,1034709.5,11795688.3,-413883.8
Huye,Ngoma,Ngoma Centre,Peri-Urban,4,4,4,Manufacturing,Metal Works,14,2948655,1861523,0.37,5279808,1097256,1436563,12,734,0,18,No,0.24,14.0,Inventory,89,Partnership,Mature,Medium,Equity Bank,9,129290.67,1637681.82,-71828.15
Musanze,Busogo,Busogo I,Peri-Urban,10,6,7,Automotive,Tire Center,13,3030281,727479,0.76,4954186,171343,16600328,12,791,0,98,No,0.4,13.0,Tech Adoption,37,Partnership,Mature,High,VisionFund,47,7802154.16,18758370.64,5644111.52
Huye,Tumba,Cyarwa,Peri-Urban,5,8,7,Agriculture,Maize Farming,15,4205370,1866335,0.56,6747747,424008,11368410,12,850,3,31,No,-0.51,13.0,Tech Adoption,3,Sole Proprietorship,Declining,High,SACCO,37,4206311.7,12846303.3,2728418.4
Huye,Tumba,Tumba Village,Peri-Urban,4,4,7,Agriculture,Maize Farming,18,3728575,2679970,0.28,5315032,1423681,7722553,36,753,1,93,Yes,0.32,15.0,Inventory,10,Partnership,Declining,High,SACCO,47,3629599.91,8880935.95,2471216.96
Nyagatare,Karangazi,Rwimiyaga,Rural,5,3,3,Manufacturing,Bakery,2,2052345,1824862,0.11,6661288,730010,5315594,6,634,3,42,Yes,0.5,13.0,Expansion,0,Partnership,Early Stage,Medium,Equity Bank,20,1063118.8,6006621.22,372091.58
Kigali,Nyarugenge,Kimisagara,Urban,5,8,8,Manufacturing,Bakery,5,461891,67881,0.85,9479675,1972481,1998392,24,595,2,66,Yes,-0.09,15.0,Tech Adoption,57,Partnership,Early Stage,Medium,Equity Bank,31,619501.52,2298150.8,319742.72
Rubavu,Kanama,Nyundo,Urban,6,8,9,Retail,Beans Shop,10,468099,250800,0.46,7549716,971782,14791999,24,652,5,64,Yes,-0.14,13.0,Inventory,70,Partnership,Declining,High,SACCO,44,6508479.56,16714958.87,4585519.69
Rubavu,Kanama,Nyundo,Urban,6,8,8,Services,Internet Cafe,19,901291,639456,0.29,1458356,896836,15622450,36,433,5,49,Yes,0.86,15.0,Equipment Purchase,63,Sole Proprietorship,Declining,Low,Bank of Kigali,42,6561429.0,17965817.5,4218061.5
Rubavu,Gisenyi,Gisenyi Town,Urban,6,1,3,Manufacturing,Soap Making,11,1705820,739534,0.57,786595,679219,14936399,36,349,0,36,Yes,0.66,14.0,Inventory,32,Partnership,Early Stage,High,VisionFund,49,7318835.51,17027494.86,5227739.65
Rubavu,Gisenyi,Rubavu,Urban,9,10,6,Automotive,Garage Services,20,4227782,3736476,0.12,5761980,360173,6590078,6,579,1,91,No,-0.67,14.0,Expansion,42,Sole Proprietorship,Growth,Low,Equity Bank,17,1120313.26,7512688.92,197702.34
Rubavu,Gisenyi,Gisenyi Town,Urban,4,8,4,Manufacturing,Metal Works,12,3042863,371645,0.88,7252986,799141,15629219,24,352,0,59,No,0.07,15.0,Tech Adoption,81,Partnership,Mature,Medium,Equity Bank,10,1562921.9,17973601.85,-781460.95
Rubavu,Gisenyi,Gisenyi Town,Urban,4,1,7,Manufacturing,Bakery,13,4660790,3237446,0.31,612449,1129176,16482238,18,482,5,20,Yes,-0.3,15.0,Expansion,3,Sole Proprietorship,Mature,Medium,BRD,19,3131625.22,18954573.7,659289.52
Huye,Ngoma,Butare,Peri-Urban,6,6,7,Services,Photocopy Center,12,4360375,3941403,0.1,9217120,1550262,18720444,12,845,1,94,No,0.65,15.0,Tech Adoption,5,Sole Proprietorship,Declining,Low,BRD,34,6364950.96,21528510.6,3556884.36
Nyagatare,Karangazi,Karangazi Centre,Rural,5,8,4,Automotive,Garage Services,4,1564509,636603,0.59,180032,775495,5583725,18,784,4,94,Yes,-0.81,12.5,Equipment Purchase,38,Partnership,Growth,High,SACCO,17,949233.25,6281690.62,251267.63
Rubavu,Gisenyi,Gisenyi Town,Urban,9,8,8,Retail,Food Market,6,911414,482914,0.47,3141548,475588,6589344,18,683,5,0,No,0.85,15.0,Expansion,71,Sole Proprietorship,Early Stage,Low,Bank of Kigali,41,2701631.04,7577745.6,1713229.44
Rubavu,Kanama,Nyundo,Urban,6,2,8,Manufacturing,Soap Making,16,4403608,899687,0.8,6217743,707499,5654823,24,443,1,94,Yes,0.14,13.0,Inventory,28,Cooperative,Growth,High,VisionFund,39,2205380.97,6389949.99,1470253.98
Nyagatare,Rukomo,Rukomo I,Rural,9,5,6,Retail,Mini Supermarket,9,4864107,1805560,0.63,4912573,461422,19653653,12,306,3,49,No,-0.75,14.0,Tech Adoption,74,Partnership,Growth,Medium,BRD,37,7271851.61,22405164.42,4520340.19
Musanze,Muhoza,Ruhengeri,Peri-Urban,6,8,3,Retail,Mini Supermarket,2,2057148,590750,0.71,1374014,1948962,4805232,18,570,2,60,No,0.61,12.5,Expansion,17,Cooperative,Early Stage,High,SACCO,49,2354563.68,5405886.0,1753909.68
Nyagatare,Karangazi,Rwimiyaga,Rural,9,3,9,Manufacturing,Textile Production,7,3069652,312401,0.9,1016496,1551566,1392462,18,636,3,3,Yes,0.02,12.5,Expansion,26,Partnership,Growth,Low,Equity Bank,9,125321.58,1566519.75,-48736.17
Rubavu,Kanama,Kanama Centre,Urban,5,3,3,Retail,Clothing Shop,3,4894375,3087258,0.37,6116976,236513,2196443,6,738,3,62,No,-0.11,14.0,Inventory,87,Sole Proprietorship,Growth,Low,BRD,26,571075.18,2503945.02,263573.16
Kigali,Gasabo,Remera,Urban,4,3,7,Services,Internet Cafe,2,4370402,3158952,0.28,421330,1701154,5314875,6,389,4,83,No,0.42,13.0,Tech Adoption,34,Cooperative,Early Stage,Medium,Equity Bank,48,2551140.0,6005808.75,1860206.25
Kigali,Kicukiro,Gatenga,Urban,10,1,6,Automotive,Car Wash,1,4040310,899507,0.78,4390173,1436811,7210872,36,330,3,83,No,0.09,15.0,Equipment Purchase,42,Partnership,Declining,Low,BRD,18,1297956.96,8292502.8,216326.16
Kigali,Gasabo,Kimironko,Urban,5,9,8,Manufacturing,Soap Making,16,4507995,3793695,0.16,4427522,75995,14149644,18,710,1,64,No,-0.06,15.0,Tech Adoption,53,Cooperative,Declining,High,VisionFund,6,848978.64,16272090.6,-1273467.96
Musanze,Busogo,Busogo II,Peri-Urban,4,9,5,Manufacturing,Furniture Making,9,3379504,3210911,0.05,8533726,442969,6943711,12,329,4,14,No,0.99,14.0,Equipment Purchase,91,Partnership,Mature,Medium,BRD,24,1666490.64,7915830.54,694371.1
Huye,Tumba,Tumba Village,Peri-Urban,8,8,4,Services,Repair Workshop,20,1230952,1095974,0.11,1842102,609875,15866157,36,303,2,6,No,0.61,12.5,Expansion,68,Cooperative,Growth,High,SACCO,38,6029139.66,17849426.62,4045870.04
Huye,Tumba,Tumba Village,Peri-Urban,5,4,8,Automotive,Spare Parts Shop,5,3087074,2956614,0.04,1397917,1883746,8292456,36,416,1,55,No,-0.51,15.0,Equipment Purchase,12,Cooperative,Early Stage,High,VisionFund,15,1243868.4,9536324.4,-0.0
Kigali,Nyarugenge,Kimisagara,Urban,6,7,4,Automotive,Motorcycle Repair,6,945483,762961,0.19,8945089,1563400,4988284,18,688,4,94,No,-0.01,12.5,Expansion,66,Cooperative,Early Stage,Low,Bank of Kigali,15,748242.6,5611819.5,124707.1
Kigali,Gasabo,Kimironko,Urban,4,1,7,Retail,Clothing Shop,16,2520632,2430146,0.04,3081770,912270,251572,36,434,1,95,Yes,0.82,15.0,Equipment Purchase,90,Sole Proprietorship,Declining,Medium,Equity Bank,23,57861.56,289307.8,20125.76
Rubavu,Gisenyi,Rubavu,Urban,7,10,7,Manufacturing,Metal Works,5,2084160,207988,0.9,1497035,1433873,9947723,18,656,2,25,No,-0.63,12.5,Equipment Purchase,95,Sole Proprietorship,Early Stage,Medium,BRD,23,2287976.29,11191188.38,1044510.91
Kigali,Gasabo,Kimironko,Urban,10,10,8,Automotive,Spare Parts Shop,13,2421356,1906462,0.21,3255043,816199,14834997,12,352,4,27,No,0.95,12.5,Expansion,96,Partnership,Declining,High,SACCO,39,5785648.83,16689371.62,3931274.21
Huye,Ngoma,Butare,Peri-Urban,6,9,4,Automotive,Tire Center,20,747215,266534,0.64,2589249,1888218,4647648,12,797,0,48,Yes,0.77,15.0,Expansion,69,Partnership,Growth,Medium,VisionFund,18,836576.64,5344795.2,139429.44
Rubavu,Gisenyi,Rubavu,Urban,10,4,4,Agriculture,Agri Supplies,18,1032784,851464,0.18,6147060,1419609,17787653,6,673,1,79,No,-0.83,13.0,Tech Adoption,91,Cooperative,Mature,High,SACCO,21,3735407.13,20100047.89,1423012.24
Musanze,Muhoza,Muhoza Centre,Peri-Urban,4,1,8,Agriculture,Bee Keeping,20,3170976,2353426,0.26,2813556,535105,18173204,36,344,0,7,Yes,0.99,13.0,Inventory,86,Partnership,Growth,Medium,Equity Bank,45,8177941.8,20535720.52,5815425.28
Nyagatare,Rukomo,Rukomo I,Rural,6,8,8,Retail,Food Market,10,4881940,1801079,0.63,537322,859300,6833454,18,673,4,75,No,0.75,12.5,Tech Adoption,76,Partnership,Growth,High,SACCO,25,1708363.5,7687635.75,854181.75
Huye,Ngoma,Ngoma Centre,Peri-Urban,4,6,3,Retail,Mini Supermarket,18,4245359,1840175,0.57,5804746,101827,1029681,24,622,1,4,Yes,0.71,13.0,Equipment Purchase,44,Sole Proprietorship,Mature,Low,Equity Bank,7,72077.67,1163539.53,-61780.86
Musanze,Busogo,Busogo I,Peri-Urban,9,10,3,Manufacturing,Textile Production,14,1745789,235549,0.87,1923532,987950,10322855,24,763,3,3,No,0.65,13.0,Inventory,29,Cooperative,Declining,High,SACCO,9,929056.95,11664826.15,-412914.2
Kigali,Nyarugenge,Nyamirambo,Urban,4,9,4,Services,Internet Cafe,12,1593605,362531,0.77,5023688,875129,3862961,12,558,2,79,Yes,0.19,14.0,Inventory,95,Cooperative,Declining,Medium,BRD,41,1583814.01,4403775.54,1042999.47
Huye,Ngoma,Butare,Peri-Urban,9,1,3,Services,Salon,13,559025,249486,0.55,4847710,1815683,12654729,36,529,1,3,Yes,-0.01,15.0,Expansion,13,Cooperative,Declining,High,VisionFund,18,2277851.22,14552938.35,379641.87
Kigali,Kicukiro,Kicukiro Centre,Urban,4,3,7,Retail,Mini Supermarket,20,4753791,2116175,0.55,7610581,158572,19140719,36,323,1,79,Yes,-0.62,13.0,Equipment Purchase,63,Cooperative,Growth,Medium,Equity Bank,44,8421916.36,21629012.47,5933622.89
Kigali,Nyarugenge,Nyamirambo,Urban,9,8,4,Services,Photocopy Center,11,1669286,962703,0.42,8141256,1700288,12932398,36,451,5,4,Yes,-0.89,14.0,Equipment Purchase,49,Cooperative,Declining,High,VisionFund,30,3879719.4,14742933.72,2069183.68
Musanze,Muhoza,Ruhengeri,Peri-Urban,6,10,9,Manufacturing,Metal Works,19,3831529,698463,0.82,4699538,1538518,994153,24,503,4,86,No,-0.81,14.0,Equipment Purchase,38,Sole Proprietorship,Growth,High,SACCO,27,268421.31,1133334.42,129239.89
Nyagatare,Karangazi,Karangazi Centre,Rural,6,2,8,Retail,Beans Shop,7,4049658,3752714,0.07,1192763,1465291,16587080,12,431,1,45,No,-0.48,12.5,Inventory,92,Sole Proprietorship,Declining,Low,BRD,45,7464186.0,18660465.0,5390801.0
Rubavu,Kanama,Nyundo,Urban,7,4,3,Agriculture,Maize Farming,20,991213,423240,0.57,1181988,237972,8463857,18,590,4,5,No,-0.63,12.5,Inventory,25,Partnership,Early Stage,High,VisionFund,14,1184939.98,9521839.12,126957.86
Kigali,Gasabo,Remera,Urban,9,6,4,Manufacturing,Textile Production,11,2116485,2116113,0.0,4240455,1891070,10046018,6,644,0,5,No,-0.46,12.5,Inventory,69,Partnership,Growth,Medium,VisionFund,16,1607362.88,11301770.25,351610.63
Musanze,Busogo,Busogo I,Peri-Urban,5,3,3,Retail,Food Market,3,661911,538941,0.19,8311358,1504627,16408102,18,320,0,84,Yes,-0.86,13.0,Equipment Purchase,61,Sole Proprietorship,Mature,High,VisionFund,24,3937944.48,18541155.26,1804891.22
Musanze,Muhoza,Muhoza Centre,Peri-Urban,5,9,5,Agriculture,Pig Farming,13,2894272,2309473,0.2,9255756,388923,455747,12,610,0,11,Yes,-0.52,12.5,Tech Adoption,59,Partnership,Early Stage,Low,BRD,25,113936.75,512715.38,56968.37
Huye,Tumba,Tumba Village,Peri-Urban,6,5,8,Agriculture,Bee Keeping,12,2635342,831101,0.68,3310047,1262562,18054428,24,768,4,50,No,-0.15,13.0,Inventory,93,Partnership,Growth,Low,BRD,45,8124492.6,20401503.64,5777416.96
Huye,Tumba,Cyarwa,Peri-Urban,7,4,4,Agriculture,Agri Supplies,7,737535,507889,0.31,1574194,741135,2160025,24,489,4,81,No,0.09,13.0,Equipment Purchase,96,Sole Proprietorship,Declining,Low,Equity Bank,47,1015211.75,2440828.25,734408.5
Nyagatare,Karangazi,Karangazi Centre,Rural,6,6,8,Manufacturing,Furniture Making,7,2114480,1453525,0.31,2560664,705128,7138476,24,301,3,14,Yes,-0.19,14.0,Tech Adoption,77,Cooperative,Declining,Low,Bank of Kigali,9,642462.84,8137862.64,-356923.8
Nyagatare,Karangazi,Karangazi Centre,Rural,5,4,5,Automotive,Spare Parts Shop,16,232462,220855,0.05,8365147,1179204,872911,6,654,4,86,Yes,0.67,15.0,Tech Adoption,11,Partnership,Mature,High,SACCO,40,349164.4,1003847.65,218227.75
Nyagatare,Rukomo,Rukomo I,Rural,7,9,6,Retail,Mini Supermarket,5,1162595,1025427,0.12,248689,1958746,11333432,12,744,4,58,No,0.42,15.0,Inventory,64,Partnership,Mature,High,SACCO,31,3513363.92,13033446.8,1813349.12
Kigali,Kicukiro,Kicukiro Centre,Urban,5,6,8,Manufacturing,Furniture Making,6,3525442,2021346,0.43,3509748,1092301,16586526,18,650,4,88,No,-0.33,12.5,Expansion,88,Partnership,Declining,High,SACCO,11,1824517.86,18659841.75,-248797.89
Nyagatare,Karangazi,Karangazi Centre,Rural,10,3,7,Agriculture,Agri Supplies,13,1461286,929645,0.36,2319427,890743,16282336,12,462,0,21,Yes,0.61,14.0,Inventory,57,Cooperative,Growth,High,SACCO,9,1465410.24,18561863.04,-814116.8
Rubavu,Gisenyi,Gisenyi Town,Urban,8,2,4,Automotive,Garage Services,9,2360558,1289248,0.45,5927653,1525656,19208505,12,496,5,65,No,0.26,14.0,Expansion,30,Sole Proprietorship,Declining,High,VisionFund,40,7683402.0,21897695.7,4994211.3
Nyagatare,Karangazi,Karangazi Centre,Rural,6,4,9,Manufacturing,Textile Production,1,2515014,1763571,0.3,9491148,999242,7731627,36,564,0,1,Yes,0.37,14.0,Expansion,58,Partnership,Growth,High,SACCO,27,2087539.29,8814054.78,1005111.51
Huye,Ngoma,Butare,Peri-Urban,7,7,9,Services,Repair Workshop,3,4562037,3476820,0.24,7687657,1907092,17636772,12,328,4,13,No,0.84,12.5,Inventory,80,Partnership,Mature,Medium,Equity Bank,41,7231076.52,19841368.5,5026480.02
Musanze,Busogo,Busogo I,Peri-Urban,8,7,8,Automotive,Car Wash,11,2501544,1035405,0.59,4735592,998020,14023412,36,739,1,4,No,-0.18,14.0,Equipment Purchase,33,Partnership,Mature,High,SACCO,30,4207023.6,15986689.68,2243745.92
Kigali,Nyarugenge,Kimisagara,Urban,7,10,4,Agriculture,Maize Farming,8,4733201,2065920,0.56,2427044,16337,15029200,24,521,2,11,Yes,0.26,13.0,Tech Adoption,100,Partnership,Declining,Medium,BRD,45,6763140.0,16982996.0,4809344.0
Huye,Ngoma,Ngoma Centre,Peri-Urban,4,2,4,Retail,Food Market,12,2420742,2412657,0.0,2394970,1662214,7627952,6,391,1,48,No,-0.94,14.0,Tech Adoption,77,Partnership,Growth,Medium,Equity Bank,48,3661416.96,8695865.28,2593503.68
Kigali,Gasabo,Remera,Urban,6,3,7,Retail,Mini Supermarket,11,4461067,1314717,0.71,9158839,749698,2454624,24,559,0,97,No,0.21,12.5,Expansion,33,Sole Proprietorship,Mature,High,VisionFund,16,392739.84,2761452.0,85911.84
Kigali,Nyarugenge,Kimisagara,Urban,5,7,4,Automotive,Garage Services,17,4874279,970383,0.8,692970,1161695,8038614,12,746,3,71,No,0.24,12.5,Inventory,59,Cooperative,Growth,Medium,BRD,19,1527336.66,9043440.75,522509.91
Rubavu,Gisenyi,Rubavu,Urban,7,2,8,Agriculture,Agri Supplies,8,2610363,1269501,0.51,9504421,145890,17001724,12,630,3,6,No,-0.31,14.0,Expansion,19,Partnership,Mature,Low,Bank of Kigali,24,4080413.76,19381965.36,1700172.4
Rubavu,Gisenyi,Rubavu,Urban,4,10,8,Retail,Electronics Store,7,2677533,262367,0.9,2691362,726519,7790051,6,500,4,42,Yes,0.42,13.0,Expansion,45,Partnership,Growth,Low,Equity Bank,18,1402209.18,8802757.63,389502.55
Nyagatare,Karangazi,Rwimiyaga,Rural,8,1,5,Services,Photocopy Center,2,4799944,2841697,0.41,470798,1449432,19961979,24,398,0,17,Yes,-0.82,14.0,Tech Adoption,2,Partnership,Declining,Low,BRD,44,8783270.76,22756656.06,5988593.7
Kigali,Nyarugenge,Nyamirambo,Urban,9,1,4,Services,Laundry Service,8,4296626,869484,0.8,5108116,289996,12259637,36,739,3,44,Yes,-0.48,13.0,Inventory,10,Sole Proprietorship,Declining,Medium,VisionFund,38,4658662.06,13853389.81,3064909.25
